;link;location;type;size;rooms;price
0;/szombathely/elado+lakas/tegla-epitesu-lakas/32690807;szombathely;tegla-epitesu-lakas;55 m2;3;39,90 millió Ft
1;/szombathely/elado+lakas/tegla-epitesu-lakas/32690759;szombathely;tegla-epitesu-lakas;75 m2;4;51,90 millió Ft
2;/ix-ker/elado+lakas/tegla-epitesu-lakas/32940102;ix-ker;tegla-epitesu-lakas;38 m2;2;45,90 millió Ft
3;/ix-ker/elado+lakas/tegla-epitesu-lakas/32939155;ix-ker;tegla-epitesu-lakas;33 m2;1;38,90 millió Ft
4;/iv-ker/elado+lakas/tegla-epitesu-lakas/32805311;iv-ker;tegla-epitesu-lakas;104 m2;4;110 millió Ft
5;/viii-ker/elado+lakas/tegla-epitesu-lakas/32863188;viii-ker;tegla-epitesu-lakas;41 m2;2;33,50 millió Ft
6;/v-ker/elado+lakas/tegla-epitesu-lakas/28450448;v-ker;tegla-epitesu-lakas;118 m2;4;155 millió Ft
7;/viii-ker/elado+lakas/tegla-epitesu-lakas/32674840;viii-ker;tegla-epitesu-lakas;60 m2;3;70,30 millió Ft
8;/iii-ker/elado+lakas/panel-lakas/32974352;iii-ker;panel-lakas;66 m2;3;"55,90 millió Ft
138,53 ezer €"
9;/ix-ker/elado+lakas/tegla-epitesu-lakas/32776413;ix-ker;tegla-epitesu-lakas;43 m2;2;74,84 millió Ft
10;/xiii-ker/elado+lakas/tegla-epitesu-lakas/32957116;xiii-ker;tegla-epitesu-lakas;61 m2;2;59,90 millió Ft
11;/xiii-ker/elado+lakas/tegla-epitesu-lakas/32984674;xiii-ker;tegla-epitesu-lakas;41 m2;2;79,90 millió Ft
12;/ii-ker/elado+lakas/tegla-epitesu-lakas/32976657;ii-ker;tegla-epitesu-lakas;65 m2;3;89,90 millió Ft
13;/xi-ker/elado+lakas/tegla-epitesu-lakas/32998385;xi-ker;tegla-epitesu-lakas;57 m2;2 + 1 fél;63,80 millió Ft
14;/xiii-ker/elado+lakas/tegla-epitesu-lakas/33000469;xiii-ker;tegla-epitesu-lakas;51 m2;2;66 millió Ft
15;/xi-ker/elado+lakas/panel-lakas/33001023;xi-ker;panel-lakas;66 m2;1 + 3 fél;63,90 millió Ft
16;/xi-ker/elado+lakas/tegla-epitesu-lakas/32987366;xi-ker;tegla-epitesu-lakas;74 m2;3;104,62 millió Ft
17;/vii-ker/elado+lakas/tegla-epitesu-lakas/32920730;vii-ker;tegla-epitesu-lakas;105 m2;3;99 millió Ft
18;/iii-ker/elado+lakas/panel-lakas/33004361;iii-ker;panel-lakas;NA;NA;NA
19;/xiii-ker/elado+lakas/tegla-epitesu-lakas/33004164;xiii-ker;tegla-epitesu-lakas;67 m2;3;89,90 millió Ft
20;/vii-ker/elado+lakas/tegla-epitesu-lakas/33005450;vii-ker;tegla-epitesu-lakas;113 m2;3;75 millió Ft
21;/xiii-ker/elado+lakas/tegla-epitesu-lakas/32983230;xiii-ker;tegla-epitesu-lakas;33 m2;1;48,75 millió Ft
22;/vii-ker/elado+lakas/tegla-epitesu-lakas/28867703;vii-ker;tegla-epitesu-lakas;48 m2;1 + 1 fél;47,90 millió Ft
23;/viii-ker/elado+lakas/tegla-epitesu-lakas/32847739;viii-ker;tegla-epitesu-lakas;56 m2;2;"44,80 millió Ft
114,05 ezer €"
24;/viii-ker/elado+lakas/tegla-epitesu-lakas/32866088;viii-ker;tegla-epitesu-lakas;82 m2;3;"79 millió Ft
198,24 ezer €"
25;/viii-ker/elado+lakas/tegla-epitesu-lakas/32901346;viii-ker;tegla-epitesu-lakas;111 m2;4;"79,99 millió Ft
203,63 ezer €"
26;/xiii-ker/elado+lakas/tegla-epitesu-lakas/32941916;xiii-ker;tegla-epitesu-lakas;47 m2;2;35,90 millió Ft
27;/vii-ker/elado+lakas/tegla-epitesu-lakas/32265440;vii-ker;tegla-epitesu-lakas;87 m2;3;62 millió Ft
28;/xi-ker/elado+lakas/tegla-epitesu-lakas/32223580;xi-ker;tegla-epitesu-lakas;49 m2;2;74,80 millió Ft
29;/xiii-ker/elado+lakas/tegla-epitesu-lakas/32768382;xiii-ker;tegla-epitesu-lakas;81 m2;2 + 1 fél;"64,80 millió Ft
160,59 ezer €"
30;/vii-ker/elado+lakas/tegla-epitesu-lakas/32889846;vii-ker;tegla-epitesu-lakas;46 m2;1 + 1 fél;53,90 millió Ft
31;/xiv-ker/elado+lakas/tegla-epitesu-lakas/32953006;xiv-ker;tegla-epitesu-lakas;68 m2;2 + 1 fél;49,90 millió Ft
32;/xi-ker/elado+lakas/tegla-epitesu-lakas/32923710;xi-ker;tegla-epitesu-lakas;106 m2;3 + 1 fél;109 millió Ft
33;/iv-ker/elado+lakas/panel-lakas/23141128;iv-ker;panel-lakas;60 m2;1 + 2 fél;39,90 millió Ft
34;/iv-ker/elado+lakas/panel-lakas/33010067;iv-ker;panel-lakas;54 m2;2;39,90 millió Ft
